"TradeDate","Expiry","Strike","SpotIn","PremiumIn","SpotOut","PremiumOut","PnL"
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,41.05,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,44.7,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,46.75,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,49.55,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,51.95,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,54.95,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,59,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,60.45,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,62.05,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,62.8,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,66.45,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,70.25,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,75.89,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,78.6,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,80.5,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,87.4,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,95.4,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,105.3,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,109.54,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,117.95,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,124.64,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,128.95,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,140.96,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,144.61,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,149.95,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,168.1,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,171.5,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,191.44,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,229.6,0.75
2019-05-31,2019-05-31,2750,2751.75,2.5,2751.75,292.3,0.75
2019-06-28,2019-06-28,2940,2940.92,2.76,2940.92,2.76,1.83
